location,bedroom,bathroom,land_clean,building_clean,price_clean
"Buah Batu, Bandung",2,1,84,56,425000000
"Cibiru, Bandung",2,1,87,45,495000000
"Kota Baru Parahyangan, Bandung",4,3,162,217,3700000000
"Margahayu, Bandung",4,3,110,150,1150000000
"Turangga, Bandung",4,3,518,300,6800000000
"Bandung Kota, Bandung",4,3,146,150,1400000000
"Cibiru, Bandung",2,1,87,45,495000000
"Bojongsoang, Bandung",2,2,83,45,492000000
"Cijerah, Bandung",3,2,68,85,1150000000
"Gede Bage, Bandung",2,1,72,36,700000000
"Mekar Wangi, Bandung",4,3,226,340,3900000000
"Turangga, Bandung",3,3,137,120,1600000000
"Bandung Kota, Bandung",4,3,108,120,1590000000
"Setiabudi, Bandung",3,2,108,100,2400000000
"Dago, Bandung",7,6,1003,688,38000000000
"Batununggal, Bandung",3,2,300,200,4350000000
"Cijagra, Bandung",5,3,537,300,7500000000
"Mekar Wangi, Bandung",4,3,226,340,3900000000
"Bandung Kulon, Bandung",3,2,173,180,1600000000
"Mandalajati, Bandung",2,1,66,40,523000000
"Padasuka, Bandung",2,1,63,40,499000000
"Riau, Bandung",4,2,1089,365,45000000000
"Dago, Bandung",3,2,112,114,2300000000
"Padasuka, Bandung",2,2,72,60,677000000
"Padasuka, Bandung",2,1,60,40,485000000
"Padasuka, Bandung",2,1,72,40,485000000
"Padasuka, Bandung",2,1,66,40,523000000
"Padasuka, Bandung",2,2,72,60,675000000
"Padasuka, Bandung",2,1,72,40,485000000
"Padasuka, Bandung",2,1,72,40,485000000
"Geger Kalong, Bandung",3,3,125,160,1150000000
"Padasuka, Bandung",2,1,68,55,450000000
"Padasuka, Bandung",2,1,72,40,485000000
"Padasuka, Bandung",3,2,74,60,595000000
"Bojongsoang, Bandung",2,1,70,45,245000000
"Sayap Dago, Bandung",3,2,84,55,539000000
"Padasuka, Bandung",3,2,74,60,595000000
"Cihanjuang, Bandung",3,2,139,155,650000000
"Bojongsoang, Bandung",2,1,70,45,245000000
"Sayap Dago, Bandung",3,2,84,55,539000000
"Padasuka, Bandung",3,2,74,60,595000000
"Cihanjuang, Bandung",3,2,139,155,650000000
"Padasuka, Bandung",2,1,74,45,564000000
"Padasuka, Bandung",3,2,72,60,825000000
"Sayap Dago, Bandung",4,3,310,214,5000000000
"Cimahi, Bandung",2,2,72,45,500000000
"Padasuka, Bandung",2,2,72,60,825000000
"Mandalajati, Bandung",4,3,120,129,1700000000
"Cimenyan, Bandung",3,2,135,70,750000000
"Taman Kopo Indah, Bandung",4,1,104,74,1000000000
"Taman Kopo Indah, Bandung",4,3,153,150,1770000000
"Summarecon Bandung, Bandung",4,3,144,180,3200000000
"Setiabudi, Bandung",3,3,128,140,1850000000
"Buah Batu, Bandung",2,1,70,45,285000000
"Kota Baru Parahyangan, Bandung",4,3,162,217,3700000000
"Singgasana, Bandung",3,4,187,250,3250000000
"Sayap Dago, Bandung",3,2,600,450,25000000000
"Holis Cigondewah, Bandung",2,2,112,90,1200000000
"Bandung Kota, Bandung",3,2,102,120,1200000000
"Turangga, Bandung",2,2,120,126,1250000000
"Setra Duta, Bandung",3,2,60,90,1360000000
"Cibaduyut, Bandung",3,2,84,120,825000000
"Antapani, Bandung",4,5,210,200,4000000000
"Singgasana, Bandung",4,3,200,210,4950000000
"Holis Cigondewah, Bandung",4,3,135,160,2250000000
"Gunung Batu, Bandung",5,4,420,300,4200000000
"Lembang, Bandung",5,2,162,269,2000000000
"Bandung Kota, Bandung",5,3,456,260,10000000000
"Sukasari, Bandung",3,3,72,116,1450000000
"Soekarno Hatta, Bandung",4,3,120,160,1390000000
"Ciwastra, Bandung",2,1,60,36,250000000
"Bojongsoang, Bandung",3,3,200,170,3800000000
"Setra Sari, Bandung",4,3,520,250,5500000000
"Setiabudi, Bandung",5,4,372,162,2500000000
"Turangga, Bandung",5,4,470,250,7500000000
"Pasteur, Bandung",4,3,345,340,5000000000
"Kopo, Bandung",2,1,84,50,1050000000
"Sarijadi, Bandung",5,2,296,200,3500000000
"Cigadung, Bandung",5,2,344,200,2750000000
"Cimahi, Bandung",4,2,206,200,740000000
"Cibiru, Bandung",2,1,87,45,495000000
"Batununggal, Bandung",3,2,240,200,4250000000
"Soekarno Hatta, Bandung",2,1,60,22,250000000
"Geger Kalong, Bandung",5,4,113,145,2100000000
"Lengkong, Bandung",5,3,283,220,6000000000
"Cikutra, Bandung",4,3,151,170,1250000000
"Antapani, Bandung",3,2,127,110,1500000000
"Sayap Dago, Bandung",10,10,1345,400,55000000000
"Leuwi Panjang, Bandung",3,2,108,95,1350000000
"Buah Batu, Bandung",5,4,120,220,2000000000
"Kiaracondong, Bandung",4,2,753,400,2500000000
"Kopo Permai, Bandung",5,4,243,300,2600000000
"Bandung Kota, Bandung",8,8,132,180,2250000000
"Sariwangi, Bandung",2,2,76,50,950000000
"Banjaran, Bandung",3,3,4000,800,4800000000
"Arcamanik, Bandung",2,1,97,55,775000000
"Lengkong, Bandung",6,3,223,168,2900000000
"Cihanjuang, Bandung",2,1,154,70,750000000
"Holis Cigondewah, Bandung",3,3,175,110,2300000000
"Dago, Bandung",42,42,530,1562,12500000000
"Kota Baru Parahyangan, Bandung",3,3,790,462,19900000000
"Pondok Hijau, Bandung",3,3,182,235,3250000000
"Sukajadi, Bandung",14,8,841,558,21000000000
"Cimenyan, Bandung",3,2,100,130,1850000000
"Cikutra, Bandung",2,2,109,80,1500000000
"Sayap Dago, Bandung",8,4,898,600,28000000000
"Arcamanik, Bandung",4,2,98,106,1300000000
"Buah Batu, Bandung",4,3,500,200,2500000000
"Kota Baru Parahyangan, Bandung",4,4,290,265,6500000000
"Buah Batu, Bandung",4,3,160,200,2850000000
"Setiabudi, Bandung",5,5,354,450,4900000000
"Sayap Dago, Bandung",5,3,741,350,6300000000
"Geger Kalong, Bandung",4,3,151,200,3000000000
"Veteran, Bandung",7,3,390,500,8250000000
"Summarecon Bandung, Bandung",2,2,105,80,2200000000
"Kota Baru Parahyangan, Bandung",4,3,162,217,3700000000
"Pasir Luyu, Bandung",4,3,285,620,4750000000
"Pungkur, Bandung",4,3,95,100,1050000000
"Cibaduyut, Bandung",2,2,80,120,975000000
"Buah Batu, Bandung",3,3,90,180,1200000000
"Kota Baru Parahyangan, Bandung",4,3,108,140,2600000000
"Gede Bage, Bandung",4,3,180,170,3700000000
"Bandung Kota, Bandung",4,5,362,400,3000000000
"Geger Kalong, Bandung",3,3,188,154,2500000000
"Pondok Hijau, Bandung",2,1,144,100,1900000000
"Cigadung, Bandung",4,4,117,130,1900000000
"Antapani, Bandung",3,1,93,90,870000000
"Sayap Dago, Bandung",19,6,690,303,7000000000
"Sariwangi, Bandung",7,4,496,350,2900000000
"Antapani, Bandung",3,1,93,90,870000000
"Turangga, Bandung",3,2,109,160,2650000000
"Pasteur, Bandung",3,3,309,190,4600000000
"Lembang, Bandung",3,2,700,300,6500000000
"Regol, Bandung",4,2,299,215,3300000000
"Antapani, Bandung",6,3,147,180,2200000000
"Kota Baru Parahyangan, Bandung",3,3,108,198,1800000000
"Pajajaran, Bandung",3,2,165,144,3800000000
"Bandung Kota, Bandung",4,2,150,110,2500000000
"Turangga, Bandung",3,3,125,200,2800000000
"Batununggal, Bandung",4,3,180,150,2600000000
"Gatot Subroto, Bandung",10,5,476,300,14000000000
"Turangga, Bandung",3,3,108,130,2450000000
